run_id,mode,n_questions,chunk_metrics.hit_at_k@1,chunk_metrics.hit_at_k@3,chunk_metrics.hit_at_k@5,chunk_metrics.hit_at_k@10,chunk_metrics.recall_at_k@1,chunk_metrics.recall_at_k@3,chunk_metrics.recall_at_k@5,chunk_metrics.recall_at_k@10,chunk_metrics.precision_at_k@1,chunk_metrics.precision_at_k@3,chunk_metrics.precision_at_k@5,chunk_metrics.precision_at_k@10,chunk_metrics.ndcg_at_k@1,chunk_metrics.ndcg_at_k@3,chunk_metrics.ndcg_at_k@5,chunk_metrics.ndcg_at_k@10,chunk_metrics.mrr,page_metrics.hit_at_k@1,page_metrics.hit_at_k@3,page_metrics.hit_at_k@5,page_metrics.hit_at_k@10,page_metrics.recall_at_k@1,page_metrics.recall_at_k@3,page_metrics.recall_at_k@5,page_metrics.recall_at_k@10,page_metrics.precision_at_k@1,page_metrics.precision_at_k@3,page_metrics.precision_at_k@5,page_metrics.precision_at_k@10,page_metrics.ndcg_at_k@1,page_metrics.ndcg_at_k@3,page_metrics.ndcg_at_k@5,page_metrics.ndcg_at_k@10,page_metrics.mrr
073fc8f2ef41-dataset,dense,30,0.4333,0.8,0.8333,0.8667,0.2861,0.5639,0.6056,0.6889,0.4333,0.3,0.2,0.12,0.4333,0.5075,0.5236,0.5602,0.602,0.4667,0.8,0.9333,0.9333,0.3278,0.6722,0.775,0.8389,0.4667,0.3444,0.2467,0.1475,0.4667,0.594,0.64,0.6679,0.645
073fc8f2ef41-dataset,bm25,30,0.5667,0.7667,0.8333,1.0,0.4278,0.6306,0.7111,0.8167,0.5667,0.3333,0.2422,0.16,0.5667,0.6075,0.6478,0.6914,0.6854,0.6667,0.8667,0.8667,0.9333,0.5333,0.7611,0.8056,0.8889,0.6667,0.3889,0.2733,0.1769,0.6667,0.7293,0.7516,0.7861,0.7648
073fc8f2ef41-dataset,hybrid,30,0.5,0.7667,0.8,0.9333,0.3278,0.5806,0.6306,0.8028,0.5,0.3222,0.2067,0.1433,0.5,0.5502,0.5668,0.6343,0.6545,0.6,0.9,0.9,0.9333,0.3944,0.7639,0.7722,0.8806,0.6,0.3889,0.24,0.1468,0.6,0.6923,0.691,0.734,0.7458
073fc8f2ef41-dataset,hybrid_rerank,30,0.7667,0.9667,1.0,1.0,0.5444,0.7472,0.7833,0.8472,0.7667,0.4222,0.2733,0.1533,0.7667,0.7533,0.761,0.7902,0.8528,0.8,1.0,1.0,1.0,0.6028,0.8667,0.9194,0.9583,0.8,0.4444,0.3,0.175,0.8,0.8331,0.8571,0.8758,0.8722
09788e023c74-chunk_400,bm25,30,0.0,0.0,0.0333,0.1,0.0,0.0,0.0167,0.0417,0.0,0.0,0.0067,0.01,0.0,0.0,0.0079,0.0177,0.0137,0.3333,0.8333,0.9,0.9333,0.2194,0.7139,0.7833,0.8583,0.3333,0.3556,0.2622,0.1589,0.3333,0.5824,0.6169,0.6464,0.5953
09788e023c74-chunk_400,hybrid,30,0.0,0.0,0.0,0.0667,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0067,0.0,0.0,0.0,0.0106,0.0083,0.2,0.6,0.7333,0.9,0.1028,0.4833,0.6056,0.7917,0.2,0.2667,0.2067,0.1367,0.2,0.3729,0.4275,0.4982,0.4257
09788e023c74-chunk_400,hybrid_rerank,30,0.0,0.0,0.0,0.0667,0.0,0.0,0.0,0.0278,0.0,0.0,0.0,0.0067,0.0,0.0,0.0,0.0109,0.0074,0.4667,0.8667,0.9333,0.9667,0.2972,0.7361,0.8306,0.9167,0.4667,0.4,0.28,0.1567,0.4667,0.6499,0.6894,0.7242,0.6844
34130d18924d-chunk_150,bm25,30,0.0,0.0333,0.0333,0.0667,0.0,0.0167,0.0167,0.025,0.0,0.0111,0.0067,0.0067,0.0,0.0129,0.0129,0.0167,0.02,0.6667,0.8333,0.9,0.9,0.525,0.7111,0.7694,0.8389,0.6667,0.3556,0.26,0.1847,0.6667,0.6979,0.726,0.7579,0.7594
34130d18924d-chunk_150,dense,30,0.0,0.0333,0.0333,0.1333,0.0,0.0167,0.0167,0.0611,0.0,0.0111,0.0067,0.0133,0.0,0.0129,0.0129,0.0314,0.0307,0.3,0.6,0.7667,0.9,0.2083,0.5111,0.6333,0.7778,0.3,0.2556,0.2067,0.1405,0.3,0.4362,0.4943,0.5505,0.5015
34130d18924d-chunk_150,hybrid,30,0.0,0.0333,0.0333,0.1333,0.0,0.0167,0.0167,0.0611,0.0,0.0111,0.0067,0.0133,0.0,0.0129,0.0129,0.0294,0.027,0.5,0.7667,0.9333,0.9333,0.3917,0.6472,0.8139,0.8306,0.5,0.3444,0.2533,0.1467,0.5,0.6074,0.6789,0.6871,0.6722
